timestamp,benchmark_version,prompt_version,provider,model,thinking_level,condition,true_hypothesis,seed,experiment_budget,diagnosis_threshold,max_decision_calls,final_diagnosis,diagnosis_correct,diagnosed_correctly_within_budget,threshold_qualified_success,premature_diagnosis,normative_probability_of_final_diagnosis,model_reported_final_confidence,experiments_used,decision_calls,total_retries,termination_reason,cumulative_action_regret,oracle_action_agreements,oracle_action_agreement_rate,mean_autonomous_belief_l1_error,provider_failure_flag,model_failure_flag,scientific_model_failure_flag,provider_rate_limit_failure_flag,provider_transport_failure_flag,provider_error_type,provider_error_message,action_sequence,first_action,repeat_trial_count,use_trusted_sensor_count,change_context_count,source_run_directory,protocol_status,analysis_category,source_dataset
2026-08-29T12:29:34.264470+00:00,binary_er1_v2,binary_er1_v2_001,gemini,gemini-3.6-flash,low,FULL_AUTONOMOUS,NO_STRUCTURAL_CHANGE,0,8,0.95,9,NO_STRUCTURAL_CHANGE,True,True,False,True,0.7052035646412104,0.88,2,3,0,DIAGNOSED,0.039168979108386015,1,0.5,0.3821691332839338,False,False,False,False,False,,,USE_TRUSTED_SENSOR>REPEAT_TRIAL,USE_TRUSTED_SENSOR,1,1,0,er1_v2_gemini_3_6_flash_low_seed0_1_tier1,VALID_EPISODE,VALID_EPISODE,er1_v2_gemini_3_6_flash_low_seed0_1_three_condition_analysis
2026-08-29T12:30:01.987292+00:00,binary_er1_v2,binary_er1_v2_001,gemini,gemini-3.6-flash,low,PLANNER_ONLY,NO_STRUCTURAL_CHANGE,0,8,0.95,9,NO_STRUCTURAL_CHANGE,True,True,False,True,0.7052035646412104,0.7052035646412104,2,3,0,DIAGNOSED,0.039168979108386015,1,0.5,,False,False,False,False,False,,,USE_TRUSTED_SENSOR>REPEAT_TRIAL,USE_TRUSTED_SENSOR,1,1,0,er1_v2_gemini_3_6_flash_low_seed0_1_tier1,VALID_EPISODE,VALID_EPISODE,er1_v2_gemini_3_6_flash_low_seed0_1_three_condition_analysis
2026-08-29T13:41:19.673203+00:00,binary_er1_v2,binary_er1_v2_threshold_aware_001,gemini,gemini-3.6-flash,low,THRESHOLD_AWARE_AUTONOMOUS,NO_STRUCTURAL_CHANGE,0,8,0.95,9,NO_STRUCTURAL_CHANGE,True,True,False,True,0.911056566720327,0.98,3,4,0,DIAGNOSED,0.3668367597042391,1,0.3333333333333333,0.43571087744250553,False,False,False,False,False,,,REPEAT_TRIAL>USE_TRUSTED_SENSOR>CHANGE_CONTEXT,REPEAT_TRIAL,1,1,1,er1_v2_gemini_3_6_flash_low_seed0_1_threshold_aware_tier1,VALID_EPISODE,VALID_EPISODE,er1_v2_gemini_3_6_flash_low_seed0_1_three_condition_analysis
2026-08-29T12:30:42.449724+00:00,binary_er1_v2,binary_er1_v2_001,gemini,gemini-3.6-flash,low,FULL_AUTONOMOUS,NO_STRUCTURAL_CHANGE,1,8,0.95,9,NO_STRUCTURAL_CHANGE,True,True,False,True,0.911056566720327,0.88,3,4,0,DIAGNOSED,0.06345436313237618,1,0.3333333333333333,0.42988338650109736,False,False,False,False,False,,,USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,USE_TRUSTED_SENSOR,1,1,1,er1_v2_gemini_3_6_flash_low_seed0_1_tier1,VALID_EPISODE,VALID_EPISODE,er1_v2_gemini_3_6_flash_low_seed0_1_three_condition_analysis
2026-08-29T12:31:20.986492+00:00,binary_er1_v2,binary_er1_v2_001,gemini,gemini-3.6-flash,low,PLANNER_ONLY,NO_STRUCTURAL_CHANGE,1,8,0.95,9,NO_STRUCTURAL_CHANGE,True,True,False,True,0.911056566720327,0.911056566720327,3,4,0,DIAGNOSED,0.06345436313237618,1,0.3333333333333333,,False,False,False,False,False,,,USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,USE_TRUSTED_SENSOR,1,1,1,er1_v2_gemini_3_6_flash_low_seed0_1_tier1,VALID_EPISODE,VALID_EPISODE,er1_v2_gemini_3_6_flash_low_seed0_1_three_condition_analysis
2026-08-29T13:42:18.417716+00:00,binary_er1_v2,binary_er1_v2_threshold_aware_001,gemini,gemini-3.6-flash,low,THRESHOLD_AWARE_AUTONOMOUS,NO_STRUCTURAL_CHANGE,1,8,0.95,9,NO_STRUCTURAL_CHANGE,True,True,False,True,0.911056566720327,0.96,3,4,0,DIAGNOSED,0.06345436313237618,1,0.3333333333333333,0.4122882123386415,False,False,False,False,False,,,USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,USE_TRUSTED_SENSOR,1,1,1,er1_v2_gemini_3_6_flash_low_seed0_1_threshold_aware_tier1,VALID_EPISODE,VALID_EPISODE,er1_v2_gemini_3_6_flash_low_seed0_1_three_condition_analysis
2026-08-29T15:11:55.741991+00:00,binary_er1_v2,binary_er1_v2_001,gemini,gemini-3.6-flash,low,FULL_AUTONOMOUS,NO_STRUCTURAL_CHANGE,2,8,0.95,9,MISSING_LATENT_VARIABLE,False,False,False,True,0.7216041696545505,0.85,4,5,0,DIAGNOSED,0.4207538161618527,1,0.25,0.35318574065488606,False,False,False,False,False,,,USE_TRUSTED_SENSOR>USE_TRUSTED_SENSOR>CHANGE_CONTEXT>USE_TRUSTED_SENSOR,USE_TRUSTED_SENSOR,0,3,1,,VALID_EPISODE,DIAGNOSTIC_ERROR,er1_v2_gemini_3_6_flash_low_seed2_9_three_condition_tier1
2026-08-29T15:13:18.348109+00:00,binary_er1_v2,binary_er1_v2_001,gemini,gemini-3.6-flash,low,PLANNER_ONLY,NO_STRUCTURAL_CHANGE,2,8,0.95,9,MISSING_LATENT_VARIABLE,False,False,False,True,0.831518107736678,0.831518107736678,2,3,0,DIAGNOSED,0.0,2,1.0,,False,False,False,False,False,,,USE_TRUSTED_SENSOR>CHANGE_CONTEXT,USE_TRUSTED_SENSOR,0,1,1,,VALID_EPISODE,DIAGNOSTIC_ERROR,er1_v2_gemini_3_6_flash_low_seed2_9_three_condition_tier1
2026-08-29T15:15:13.956366+00:00,binary_er1_v2,binary_er1_v2_threshold_aware_001,gemini,gemini-3.6-flash,low,THRESHOLD_AWARE_AUTONOMOUS,NO_STRUCTURAL_CHANGE,2,8,0.95,9,NO_STRUCTURAL_CHANGE,True,True,False,True,0.8839536471800272,0.96,5,6,0,DIAGNOSED,0.4333801589143995,2,0.4,0.3978456078554314,False,False,False,False,False,,,USE_TRUSTED_SENSOR>USE_TRUSTED_SENSOR>USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,USE_TRUSTED_SENSOR,1,3,1,,VALID_EPISODE,VALID_EPISODE,er1_v2_gemini_3_6_flash_low_seed2_9_three_condition_tier1
2026-08-29T15:16:20.543624+00:00,binary_er1_v2,binary_er1_v2_001,gemini,gemini-3.6-flash,low,FULL_AUTONOMOUS,NO_STRUCTURAL_CHANGE,3,8,0.95,9,NO_STRUCTURAL_CHANGE,True,True,False,True,0.7052035646412104,0.9,2,3,0,DIAGNOSED,0.039168979108386015,1,0.5,0.4236553633306575,False,False,False,False,False,,,USE_TRUSTED_SENSOR>REPEAT_TRIAL,USE_TRUSTED_SENSOR,1,1,0,,VALID_EPISODE,VALID_EPISODE,er1_v2_gemini_3_6_flash_low_seed2_9_three_condition_tier1
2026-08-29T15:18:08.208962+00:00,binary_er1_v2,binary_er1_v2_001,gemini,gemini-3.6-flash,low,PLANNER_ONLY,NO_STRUCTURAL_CHANGE,3,8,0.95,9,NO_STRUCTURAL_CHANGE,True,True,False,True,0.911056566720327,0.911056566720327,3,4,0,DIAGNOSED,0.06345436313237618,1,0.3333333333333333,,False,False,False,False,False,,,USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,USE_TRUSTED_SENSOR,1,1,1,,VALID_EPISODE,VALID_EPISODE,er1_v2_gemini_3_6_flash_low_seed2_9_three_condition_tier1
2026-08-29T15:19:21.477944+00:00,binary_er1_v2,binary_er1_v2_threshold_aware_001,gemini,gemini-3.6-flash,low,THRESHOLD_AWARE_AUTONOMOUS,NO_STRUCTURAL_CHANGE,3,8,0.95,9,NO_STRUCTURAL_CHANGE,True,True,False,True,0.911056566720327,0.96,3,4,0,DIAGNOSED,0.06345436313237618,1,0.3333333333333333,0.46306273546085597,False,False,False,False,False,,,USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,USE_TRUSTED_SENSOR,1,1,1,,VALID_EPISODE,VALID_EPISODE,er1_v2_gemini_3_6_flash_low_seed2_9_three_condition_tier1
2026-08-29T15:20:48.588760+00:00,binary_er1_v2,binary_er1_v2_001,gemini,gemini-3.6-flash,low,FULL_AUTONOMOUS,NO_STRUCTURAL_CHANGE,4,8,0.95,9,NO_STRUCTURAL_CHANGE,True,True,False,True,0.7052035646412104,0.85,2,3,0,DIAGNOSED,0.039168979108386015,1,0.5,0.42417874231462155,False,False,False,False,False,,,USE_TRUSTED_SENSOR>REPEAT_TRIAL,USE_TRUSTED_SENSOR,1,1,0,,VALID_EPISODE,VALID_EPISODE,er1_v2_gemini_3_6_flash_low_seed2_9_three_condition_tier1
2026-08-29T15:21:40.022984+00:00,binary_er1_v2,binary_er1_v2_001,gemini,gemini-3.6-flash,low,PLANNER_ONLY,NO_STRUCTURAL_CHANGE,4,8,0.95,9,NO_STRUCTURAL_CHANGE,True,True,False,True,0.7052035646412104,0.7052035646412104,2,3,0,DIAGNOSED,0.039168979108386015,1,0.5,,False,False,False,False,False,,,USE_TRUSTED_SENSOR>REPEAT_TRIAL,USE_TRUSTED_SENSOR,1,1,0,,VALID_EPISODE,VALID_EPISODE,er1_v2_gemini_3_6_flash_low_seed2_9_three_condition_tier1
2026-08-29T15:22:40.140540+00:00,binary_er1_v2,binary_er1_v2_threshold_aware_001,gemini,gemini-3.6-flash,low,THRESHOLD_AWARE_AUTONOMOUS,NO_STRUCTURAL_CHANGE,4,8,0.95,9,NO_STRUCTURAL_CHANGE,True,True,False,True,0.911056566720327,0.96,3,4,0,DIAGNOSED,0.06345436313237618,1,0.3333333333333333,0.4622882123386415,False,False,False,False,False,,,USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,USE_TRUSTED_SENSOR,1,1,1,,VALID_EPISODE,VALID_EPISODE,er1_v2_gemini_3_6_flash_low_seed2_9_three_condition_tier1
2026-08-29T15:23:29.979722+00:00,binary_er1_v2,binary_er1_v2_001,gemini,gemini-3.6-flash,low,FULL_AUTONOMOUS,NO_STRUCTURAL_CHANGE,5,8,0.95,9,NO_STRUCTURAL_CHANGE,True,True,False,True,0.7052035646412104,0.85,2,3,0,DIAGNOSED,0.039168979108386015,1,0.5,0.4303220299973242,False,False,False,False,False,,,USE_TRUSTED_SENSOR>REPEAT_TRIAL,USE_TRUSTED_SENSOR,1,1,0,,VALID_EPISODE,VALID_EPISODE,er1_v2_gemini_3_6_flash_low_seed2_9_three_condition_tier1
